keys,en,fr
UI_PROFILE_STATS_TITLE,Statistics,Statistiques
UI_PROFILE_CATEGORIES_TITLE,Categories,Catégories
UI_PROFILE_BADGES_TITLE,Achievements,Succès
UI_PROFILE_HISTORY_TITLE,Recent activity,Activité récente
UI_PROFILE_XP_PROGRESS,{current} / {target} XP,{current} / {target} XP
UI_PROFILE_DEMO_HINT,Sample data shown for preview.,Données d'exemple affichées en aperçu.
UI_PROFILE_CORRECT_ANSWERS,Correct answers,Bonnes réponses
UI_PROFILE_WIN_STREAK,Win streak,Série de victoires
UI_PROFILE_BEST_STREAK,Best streak,Meilleure série
UI_PROFILE_BEST_SCORE,Best score,Meilleur score
UI_PROFILE_NO_CATEGORIES,No categories played yet.,Aucune catégorie jouée pour l'instant.
UI_PROFILE_NO_HISTORY,No recent matches yet.,Aucune partie récente pour l'instant.
UI_PROFILE_CATEGORY_META,{games} games · {accuracy}% accuracy,{games} parties · {accuracy}% de précision
UI_PROFILE_HISTORY_LINE,Score {score} · {correct}/{total} correct · {time},Score {score} · {correct}/{total} bonnes · {time}
UI_PROFILE_TIME_NOW,Just now,À l'instant
UI_PROFILE_TIME_HOURS,{hours}h ago,Il y a {hours} h
UI_PROFILE_TIME_DAYS,{days}d ago,Il y a {days} j
UI_PROFILE_BADGE_LOCKED,Complete the challenge to unlock this badge.,Terminez le défi pour débloquer ce succès.
UI_RANK_ROOKIE,Rookie,Débutant
UI_RANK_APPRENTICE,Apprentice,Apprenti
UI_RANK_CHALLENGER,Challenger,Challenger
UI_RANK_CONNOISSEUR,Connoisseur,Connaisseur
UI_RANK_EXPERT,Expert,Expert
UI_RANK_MASTER,Master,Maître
UI_RANK_LEGEND,Legend,Légende
UI_MASTERY_0,Not started,Non commencé
UI_MASTERY_1,Beginner,Débutant
UI_MASTERY_2,Skilled,Confirmé
UI_MASTERY_3,Expert,Expert
UI_MASTERY_4,Master,Maître
UI_ACH_FIRST_MATCH,First Quiz,Premier quiz
UI_ACH_FIRST_MATCH_DESC,Play your first quiz.,Jouez votre premier quiz.
UI_ACH_FIRST_WIN,First Victory,Première victoire
UI_ACH_FIRST_WIN_DESC,Win your first quiz.,Remportez votre premier quiz.
UI_ACH_STREAK_3,Hot Streak,Série en feu
UI_ACH_STREAK_3_DESC,Reach a win streak of 3.,Atteignez une série de 3 victoires.
UI_ACH_TEN_MATCHES,Regular Player,Joueur assidu
UI_ACH_TEN_MATCHES_DESC,Play 10 quizzes.,Jouez 10 quiz.
UI_ACH_SCORE_500,High Scorer,Score élevé
UI_ACH_SCORE_500_DESC,Score 500 points in a single round.,Marquez 500 points en une manche.
UI_ACH_PERFECT,Perfect Round,Manche parfaite
UI_ACH_PERFECT_DESC,Answer every question correctly in a round.,Répondez correctement à toutes les questions d'une manche.
UI_ACH_LEVEL_5,Rising Star,Étoile montante
UI_ACH_LEVEL_5_DESC,Reach level 5.,Atteignez le niveau 5.
UI_ACH_EXPLORER,Explorer,Explorateur
UI_ACH_EXPLORER_DESC,Play quizzes in at least 2 categories.,Jouez dans au moins 2 catégories.
UI_ACH_UNBEATABLE,Unbeatable,Imbattable
UI_ACH_UNBEATABLE_DESC,Win 100 quizzes.,Gagnez 100 parties.
UI_ACH_SCIENTIST,Scientist,Scientifique
UI_ACH_SCIENTIST_DESC,Answer 500 questions correctly.,Répondez à 500 questions.
UI_ACH_SERIOUS,On a roll,Sérieux
UI_ACH_SERIOUS_DESC,Reach a win streak of 10.,Série de 10 victoires.
UI_ACH_EXPERT,Expert,Expert
UI_ACH_EXPERT_DESC,Reach level 20.,Atteignez le niveau 20.
UI_PROFILE_SEE_ALL,See all,Voir tout
UI_PROFILE_CATEGORY_GAMES,{games} games,{games} parties
UI_PROFILE_XP_NEXT,Next level in {xp} XP,Prochain niveau dans {xp} XP
UI_PROFILE_VICTORY,VICTORY,VICTOIRE
UI_PROFILE_DEFEAT,DEFEAT,DÉFAITE
UI_PROFILE_SOLO,Solo match,Partie solo
UI_PROFILE_VS,VS {name},VS {name}
UI_PROFILE_EDIT_AVATAR,Edit avatar,Modifier l'avatar
UI_PROFILE_VERIFIED,Verified player,Joueur vérifié
